LOCATION,TIME,"Death rate, crude (per 1,000 people)"
ATG,2017,6.316
ATG,2018,6.366
ATG,2019,0
ATG,2020,0
ARG,1960,8.567
ARG,1961,8.618
ARG,1962,8.679
ARG,1963,8.747
ARG,1964,8.813
ARG,1965,8.871
ARG,1966,8.917
ARG,1967,8.95
ARG,1968,8.969
ARG,1969,8.976
ARG,1970,8.97
ARG,1971,8.957
ARG,1972,8.941
ARG,1973,8.924
ARG,1974,8.906
ARG,1975,8.885
ARG,1976,8.853
ARG,1977,8.809
ARG,1978,8.75
ARG,1979,8.679
ARG,1980,8.601
ARG,1981,8.525
ARG,1982,8.457
ARG,1983,8.402
ARG,1984,8.361
ARG,1985,8.331
ARG,1986,8.307
ARG,1987,8.281
ARG,1988,8.249
ARG,1989,8.209
ARG,1990,8.163
ARG,1991,8.112
ARG,1992,8.063
ARG,1993,8.018
ARG,1994,7.979
ARG,1995,7.946
ARG,1996,7.92
ARG,1997,7.898
ARG,1998,7.879
ARG,1999,7.862
ARG,2000,7.845
ARG,2001,7.83
ARG,2002,7.815
ARG,2003,7.802
ARG,2004,7.788
ARG,2005,7.775
ARG,2006,7.762
ARG,2007,7.749
ARG,2008,7.735
ARG,2009,7.722
ARG,2010,7.708
ARG,2011,7.694
ARG,2012,7.68
ARG,2013,7.665
ARG,2014,7.651
ARG,2015,7.638
ARG,2016,7.626
ARG,2017,7.616
ARG,2018,7.609
ARG,2019,0
ARG,2020,0
ARM,1960,9.646
ARM,1961,9.249
ARM,1962,8.837
ARM,1963,8.419
ARM,1964,8.005
ARM,1965,7.609
ARM,1966,7.242
ARM,1967,6.91
ARM,1968,6.623
ARM,1969,6.385
ARM,1970,6.203
ARM,1971,6.081
ARM,1972,6.012
ARM,1973,5.988
ARM,1974,6
ARM,1975,6.036
ARM,1976,6.082
ARM,1977,6.129
ARM,1978,6.174
ARM,1979,6.219
ARM,1980,6.274
ARM,1981,6.36
ARM,1982,6.489
ARM,1983,6.671
ARM,1984,6.899
ARM,1985,7.166
ARM,1986,7.457
ARM,1987,7.751
ARM,1988,8.028
ARM,1989,8.273
ARM,1990,8.473
ARM,1991,8.619
ARM,1992,8.716
ARM,1993,8.769
ARM,1994,8.785
ARM,1995,8.769
ARM,1996,8.728
ARM,1997,8.674
ARM,1998,8.622
ARM,1999,8.583
ARM,2000,8.575
ARM,2001,8.612
ARM,2002,8.697
ARM,2003,8.824
ARM,2004,8.986
ARM,2005,9.168
ARM,2006,9.346
ARM,2007,9.502
ARM,2008,9.621
ARM,2009,9.699
ARM,2010,9.739
ARM,2011,9.753
ARM,2012,9.761
ARM,2013,9.774
ARM,2014,9.796
ARM,2015,9.823
ARM,2016,9.849
ARM,2017,9.862
ARM,2018,9.857
ARM,2019,0
ARM,2020,0
ABW,1960,6.388
ABW,1961,6.241
ABW,1962,6.118
ABW,1963,6.012
ABW,1964,5.92
ABW,1965,5.839
ABW,1966,5.77
ABW,1967,5.716
ABW,1968,5.682
ABW,1969,5.666
ABW,1970,5.671
ABW,1971,5.698
ABW,1972,5.746
ABW,1973,5.812
ABW,1974,5.893
ABW,1975,5.981
ABW,1976,6.07
ABW,1977,6.157
ABW,1978,6.236
ABW,1979,6.308
ABW,1980,6.376
ABW,1981,6.444
ABW,1982,6.519
ABW,1983,6.602
ABW,1984,6.693
ABW,1985,6.785
ABW,1986,6.873
ABW,1987,6.948
ABW,1988,7.005
ABW,1989,7.043
ABW,1990,7.059
ABW,1991,7.054
ABW,1992,7.034
ABW,1993,7.005
ABW,1994,6.973
ABW,1995,6.943
ABW,1996,6.922
ABW,1997,6.911
ABW,1998,6.915
ABW,1999,6.934
ABW,2000,6.971
ABW,2001,7.022
ABW,2002,7.084
ABW,2003,7.154
ABW,2004,7.233
ABW,2005,7.32
ABW,2006,7.418
ABW,2007,7.527
ABW,2008,7.648
ABW,2009,7.78
ABW,2010,7.918
ABW,2011,8.061
ABW,2012,8.205
ABW,2013,8.347
ABW,2014,8.488
ABW,2015,8.627
ABW,2016,8.765
ABW,2017,8.907
ABW,2018,9.053
ABW,2019,0
ABW,2020,0
AUS,1960,8.6
AUS,1961,8.5
AUS,1962,8.7
AUS,1963,8.7
AUS,1964,9
AUS,1965,8.8
AUS,1966,8.9
AUS,1967,8.7
AUS,1968,9.1
AUS,1969,8.7
AUS,1970,9
AUS,1971,8.6
AUS,1972,8.3
AUS,1973,8.3
AUS,1974,8.4
AUS,1975,7.8
AUS,1976,8
AUS,1977,7.6
AUS,1978,7.5
AUS,1979,7.3
AUS,1980,7.3
AUS,1981,7.3
AUS,1982,7.5
AUS,1983,7.3
AUS,1984,7.1
AUS,1985,6.6
AUS,1986,7.3
AUS,1987,7.5
AUS,1988,7.2
AUS,1989,7.3
AUS,1990,7
AUS,1991,6.9
AUS,1992,7.1
AUS,1993,6.9
AUS,1994,7.1
AUS,1995,6.9
AUS,1996,7
AUS,1997,7
AUS,1998,6.8
AUS,1999,6.8
AUS,2000,6.7
AUS,2001,6.6
AUS,2002,6.8
AUS,2003,6.6
AUS,2004,6.5
AUS,2005,6.4
AUS,2006,6.4
AUS,2007,6.7
AUS,2008,6.7
AUS,2009,6.5
AUS,2010,6.5
AUS,2011,6.6
AUS,2012,6.6
AUS,2013,6.4
AUS,2014,6.6
AUS,2015,6.6
AUS,2016,6.6
AUS,2017,6.5
AUS,2018,6.3
AUS,2019,0
AUS,2020,0
AUT,1960,12.7
AUT,1961,12.1
AUT,1962,12.7
AUT,1963,12.8
AUT,1964,12.3
AUT,1965,13
AUT,1966,12.5
AUT,1967,12.9
AUT,1968,12.9
AUT,1969,13.3
AUT,1970,13.2
AUT,1971,13
AUT,1972,12.6
AUT,1973,12.2
AUT,1974,12.4
AUT,1975,12.7
AUT,1976,12.6
AUT,1977,12.2
AUT,1978,12.5
AUT,1979,12.2
AUT,1980,12.2
AUT,1981,12.2
AUT,1982,12.1
AUT,1983,12.3
AUT,1984,11.7
AUT,1985,11.8
AUT,1986,11.5
AUT,1987,11.2
AUT,1988,11
AUT,1989,10.9
AUT,1990,10.8
AUT,1991,10.8
AUT,1992,10.6
AUT,1993,10.4
AUT,1994,10.2
AUT,1995,10.2
AUT,1996,10.2
AUT,1997,10
AUT,1998,9.8
AUT,1999,9.8
AUT,2000,9.6
AUT,2001,9.3
AUT,2002,9.4
AUT,2003,9.5
AUT,2004,9.1
AUT,2005,9.1
AUT,2006,9
AUT,2007,9
AUT,2008,9
AUT,2009,9.3
AUT,2010,9.2
AUT,2011,9.1
AUT,2012,9.4
AUT,2013,9.4
AUT,2014,9.2
AUT,2015,9.6
AUT,2016,9.2
AUT,2017,9.5
AUT,2018,9.5
AUT,2019,0
AUT,2020,0
AZE,1960,12.83
AZE,1961,12.595
AZE,1962,12.321
AZE,1963,12.007
AZE,1964,11.657
AZE,1965,11.28
AZE,1966,10.889
AZE,1967,10.501
AZE,1968,10.132
AZE,1969,9.792
AZE,1970,9.491
AZE,1971,9.232
AZE,1972,9.013
AZE,1973,8.827
AZE,1974,8.676
AZE,1975,8.557
AZE,1976,8.472
AZE,1977,8.414
AZE,1978,8.379
AZE,1979,8.362
AZE,1980,8.358
AZE,1981,6.9
AZE,1982,6.7
AZE,1983,6.6
AZE,1984,6.8
AZE,1985,6.8
AZE,1986,6.7
AZE,1987,6.7
AZE,1988,6.8
AZE,1989,6.4
AZE,1990,6.1
AZE,1991,6.3
AZE,1992,7.1
AZE,1993,7.2
AZE,1994,7.3
AZE,1995,6.7
AZE,1996,6.2
AZE,1997,6
AZE,1998,5.9
AZE,1999,5.8
AZE,2000,5.8
AZE,2001,5.6
AZE,2002,5.7
AZE,2003,6
AZE,2004,6
AZE,2005,6.2
AZE,2006,6.2
AZE,2007,6.3
AZE,2008,6
AZE,2009,5.9
AZE,2010,5.9
AZE,2011,5.9
AZE,2012,5.9
AZE,2013,5.8
AZE,2014,5.8
AZE,2015,5.7
AZE,2016,5.8
AZE,2017,5.8
AZE,2018,5.8
AZE,2019,0
AZE,2020,0
BHS,1960,7.274
BHS,1961,7.113
BHS,1962,6.963
BHS,1963,6.828
BHS,1964,6.709
BHS,1965,6.61
BHS,1966,6.534
BHS,1967,6.482
BHS,1968,6.45
BHS,1969,6.434
BHS,1970,6.427
BHS,1971,6.419
BHS,1972,6.404
BHS,1973,6.378
BHS,1974,6.339
BHS,1975,6.292
BHS,1976,6.246
BHS,1977,6.208
BHS,1978,6.183
BHS,1979,6.171
BHS,1980,6.167
BHS,1981,6.16
BHS,1982,6.144
BHS,1983,6.112
BHS,1984,6.062
BHS,1985,5.995
BHS,1986,5.914
BHS,1987,5.826
BHS,1988,5.74
BHS,1989,5.66
BHS,1990,5.592
BHS,1991,5.542
BHS,1992,5.51
BHS,1993,5.497
BHS,1994,5.502
BHS,1995,5.527
BHS,1996,5.568
BHS,1997,5.623
BHS,1998,5.687
BHS,1999,5.757
BHS,2000,5.831
BHS,2001,5.909
BHS,2002,5.989
BHS,2003,6.071
BHS,2004,6.153
BHS,2005,6.233
BHS,2006,6.31
BHS,2007,6.383
BHS,2008,6.451
BHS,2009,6.513
BHS,2010,6.566
BHS,2011,6.606
BHS,2012,6.634
BHS,2013,6.651
BHS,2014,6.661
BHS,2015,6.671
BHS,2016,6.689
BHS,2017,6.72
BHS,2018,6.771
BHS,2019,0
BHS,2020,0
BHR,1960,14.694
BHR,1961,13.686
BHR,1962,12.698
BHR,1963,11.752
BHR,1964,10.865
BHR,1965,10.052
BHR,1966,9.322
BHR,1967,8.666
BHR,1968,8.076
BHR,1969,7.55
BHR,1970,7.081
BHR,1971,6.66
BHR,1972,6.277
BHR,1973,5.925
BHR,1974,5.599
BHR,1975,5.298
BHR,1976,5.027
BHR,1977,4.79
BHR,1978,4.588
BHR,1979,4.42
BHR,1980,4.28
BHR,1981,4.163
BHR,1982,4.062
BHR,1983,3.972
BHR,1984,3.888
BHR,1985,3.804
BHR,1986,3.719
BHR,1987,3.634
BHR,1988,3.549
BHR,1989,3.466
BHR,1990,3.386
BHR,1991,3.313
BHR,1992,3.248
BHR,1993,3.192
BHR,1994,3.144
BHR,1995,3.1
BHR,1996,3.058
BHR,1997,3.012
BHR,1998,2.96
BHR,1999,2.901
BHR,2000,2.835
BHR,2001,2.763
BHR,2002,2.688
BHR,2003,2.615
BHR,2004,2.545
BHR,2005,2.483
BHR,2006,2.43
BHR,2007,2.388
BHR,2008,2.357
BHR,2009,2.337
BHR,2010,2.327
BHR,2011,2.324
BHR,2012,2.326
BHR,2013,2.331
BHR,2014,2.337
BHR,2015,2.346
BHR,2016,2.355
BHR,2017,2.368
BHR,2018,2.385
BHR,2019,0
BHR,2020,0
BGD,1960,20.324
BGD,1961,19.839
BGD,1962,19.368
BGD,1963,18.92
BGD,1964,18.512
BGD,1965,18.2
BGD,1966,18.052
BGD,1967,18.091
BGD,1968,18.301
BGD,1969,18.638
BGD,1970,19.001
BGD,1971,19.262
BGD,1972,19.321
BGD,1973,19.12
BGD,1974,18.652
BGD,1975,17.962
BGD,1976,17.14
BGD,1977,16.308
BGD,1978,15.561
BGD,1979,14.937
BGD,1980,14.444
BGD,1981,14.054
BGD,1982,13.705
BGD,1983,13.346
BGD,1984,12.962
BGD,1985,12.547
BGD,1986,12.107
BGD,1987,11.657
BGD,1988,11.214
BGD,1989,10.779
BGD,1990,10.352
BGD,1991,9.929
BGD,1992,9.508
BGD,1993,9.09
BGD,1994,8.68
BGD,1995,8.289
BGD,1996,7.927
BGD,1997,7.603
BGD,1998,7.321
BGD,1999,7.082
BGD,2000,6.883
BGD,2001,6.717
BGD,2002,6.574
BGD,2003,6.444
BGD,2004,6.322
BGD,2005,6.205
BGD,2006,6.092
BGD,2007,5.987
BGD,2008,5.892
BGD,2009,5.807
BGD,2010,5.734
BGD,2011,5.673
BGD,2012,5.625
BGD,2013,5.589
BGD,2014,5.565
BGD,2015,5.549
BGD,2016,5.539
BGD,2017,5.533
BGD,2018,5.529
BGD,2019,0
BGD,2020,0
BRB,1960,10.826
BRB,1961,10.443
BRB,1962,10.098
BRB,1963,9.797
BRB,1964,9.543
BRB,1965,9.336
BRB,1966,9.175
BRB,1967,9.053
BRB,1968,8.959
BRB,1969,8.888
BRB,1970,8.833
BRB,1971,8.788
BRB,1972,8.749
BRB,1973,8.712
BRB,1974,8.675
BRB,1975,8.637
BRB,1976,8.599
BRB,1977,8.564
BRB,1978,8.535
BRB,1979,8.507
BRB,1980,8.479
BRB,1981,8.444
BRB,1982,8.4
BRB,1983,8.344
BRB,1984,8.277
BRB,1985,8.199
BRB,1986,8.111
BRB,1987,8.02
BRB,1988,7.93
BRB,1989,7.843
BRB,1990,7.763
BRB,1991,7.69
BRB,1992,7.624
BRB,1993,7.567
BRB,1994,7.521
BRB,1995,7.488
BRB,1996,7.471
BRB,1997,7.468
BRB,1998,7.482
BRB,1999,7.51
BRB,2000,7.553
BRB,2001,7.609
BRB,2002,7.677
BRB,2003,7.753
BRB,2004,7.835
BRB,2005,7.921
BRB,2006,8.009
BRB,2007,8.099
BRB,2008,8.19
BRB,2009,8.279
BRB,2010,8.368
BRB,2011,8.454
BRB,2012,8.54
BRB,2013,8.625
BRB,2014,8.708
BRB,2015,8.789
BRB,2016,8.865
BRB,2017,8.936
BRB,2018,9.004
BRB,2019,0
BRB,2020,0
BLR,1960,9.918
BLR,1961,9.69
BLR,1962,9.494
BLR,1963,9.328
BLR,1964,9.189
BLR,1965,9.079
BLR,1966,8.999
BLR,1967,8.951
BLR,1968,8.936
BLR,1969,8.949
BLR,1970,8.989
BLR,1971,9.051
BLR,1972,9.131
BLR,1973,9.225
BLR,1974,9.33
BLR,1975,9.45
BLR,1976,8.8
BLR,1977,8.9
BLR,1978,9.1
BLR,1979,9.5
BLR,1980,9.9
BLR,1981,9.6
BLR,1982,9.6
BLR,1983,9.9
BLR,1984,10.5
BLR,1985,10.6
BLR,1986,9.7
BLR,1987,9.9
BLR,1988,10.1
BLR,1989,10.2
BLR,1990,10.8
BLR,1991,11.2
BLR,1992,11.4
BLR,1993,12.6
BLR,1994,12.7
BLR,1995,13.1
BLR,1996,13.1
BLR,1997,13.5
BLR,1998,13.6
BLR,1999,14.2
BLR,2000,13.5
BLR,2001,14.1
BLR,2002,14.8
BLR,2003,14.5
BLR,2004,14.3
BLR,2005,14.5
BLR,2006,14.2
BLR,2007,13.7
BLR,2008,13.8
BLR,2009,14.1
BLR,2010,14.5
BLR,2011,14.3
BLR,2012,13.4
BLR,2013,13.2
BLR,2014,12.8
BLR,2015,12.6
BLR,2016,12.6
BLR,2017,12.6
BLR,2018,12.7
BLR,2019,0
BLR,2020,0
BEL,1960,12.4
BEL,1961,11.6
BEL,1962,12.2
BEL,1963,12.6
BEL,1964,11.7
BEL,1965,12.2
BEL,1966,12.1
BEL,1967,12
BEL,1968,12.7
BEL,1969,12.5
BEL,1970,12.3
BEL,1971,12.4
BEL,1972,12.1
BEL,1973,12.1
BEL,1974,11.9
BEL,1975,12.2
BEL,1976,12.1
BEL,1977,11.5
BEL,1978,11.7
BEL,1979,11.4
BEL,1980,11.5
BEL,1981,11.4
BEL,1982,11.4
BEL,1983,11.6
BEL,1984,11.2
BEL,1985,11.3
BEL,1986,11.3
BEL,1987,10.7
BEL,1988,10.6
BEL,1989,10.8
BEL,1990,10.4
BEL,1991,10.4
BEL,1992,10.4
BEL,1993,10.6
BEL,1994,10.3
BEL,1995,10.3
BEL,1996,10.3
BEL,1997,10.2
BEL,1998,10.3
BEL,1999,10.3
BEL,2000,10.2
BEL,2001,10.1
BEL,2002,10.2
BEL,2003,10.3
BEL,2004,9.7
BEL,2005,9.9
BEL,2006,9.6
BEL,2007,9.5
BEL,2008,9.8
BEL,2009,9.6
BEL,2010,9.7
BEL,2011,9.4
BEL,2012,9.8
BEL,2013,9.8
BEL,2014,9.3
BEL,2015,9.8
BEL,2016,9.5
BEL,2017,9.6
BEL,2018,10.7
BEL,2019,0
BEL,2020,0
BLZ,1960,11.181
BLZ,1961,10.86
BLZ,1962,10.54
BLZ,1963,10.22
BLZ,1964,9.902
BLZ,1965,9.592
BLZ,1966,9.295
BLZ,1967,9.017
BLZ,1968,8.762
BLZ,1969,8.53
BLZ,1970,8.323
BLZ,1971,8.141
BLZ,1972,7.977
BLZ,1973,7.825
BLZ,1974,7.68
BLZ,1975,7.533
BLZ,1976,7.376
BLZ,1977,7.207
BLZ,1978,7.024
BLZ,1979,6.828
BLZ,1980,6.621
BLZ,1981,6.407
BLZ,1982,6.195
BLZ,1983,5.995
BLZ,1984,5.813
BLZ,1985,5.658
BLZ,1986,5.537
BLZ,1987,5.451
BLZ,1988,5.401
BLZ,1989,5.385
BLZ,1990,5.408
BLZ,1991,5.473
BLZ,1992,5.571
BLZ,1993,5.692
BLZ,1994,5.82
BLZ,1995,5.936
BLZ,1996,6.017
BLZ,1997,6.05
BLZ,1998,6.029
BLZ,1999,5.953
BLZ,2000,5.826
BLZ,2001,5.66
BLZ,2002,5.476
BLZ,2003,5.293
BLZ,2004,5.123
BLZ,2005,4.976
BLZ,2006,4.856
BLZ,2007,4.76
BLZ,2008,4.685
BLZ,2009,4.631
BLZ,2010,4.597
BLZ,2011,4.582
BLZ,2012,4.58
BLZ,2013,4.588
BLZ,2014,4.603
BLZ,2015,4.624
BLZ,2016,4.65
BLZ,2017,4.681
BLZ,2018,4.716
BLZ,2019,0
BLZ,2020,0
BEN,1960,28.847
BEN,1961,28.286
BEN,1962,27.731
BEN,1963,27.172
BEN,1964,26.606
BEN,1965,26.036
BEN,1966,25.476
BEN,1967,24.94
BEN,1968,24.437
BEN,1969,23.967
BEN,1970,23.525
BEN,1971,23.099
BEN,1972,22.679
BEN,1973,22.256
BEN,1974,21.827
BEN,1975,21.397
BEN,1976,20.978
BEN,1977,20.578
BEN,1978,20.198
BEN,1979,19.836
BEN,1980,19.477
BEN,1981,19.105
BEN,1982,18.707
BEN,1983,18.274
BEN,1984,17.806
BEN,1985,17.303
BEN,1986,16.769
BEN,1987,16.221
BEN,1988,15.678
BEN,1989,15.156
BEN,1990,14.68
BEN,1991,14.272
BEN,1992,13.94
BEN,1993,13.683
BEN,1994,13.494
BEN,1995,13.359
BEN,1996,13.255
BEN,1997,13.155
BEN,1998,13.036
BEN,1999,12.884
BEN,2000,12.69
BEN,2001,12.451
BEN,2002,12.18
BEN,2003,11.891
BEN,2004,11.592
BEN,2005,11.293
BEN,2006,11.006
BEN,2007,10.739
BEN,2008,10.497
BEN,2009,10.282
BEN,2010,10.094
BEN,2011,9.928
BEN,2012,9.775
BEN,2013,9.628
BEN,2014,9.481
BEN,2015,9.332
BEN,2016,9.18
BEN,2017,9.025
BEN,2018,8.871
BEN,2019,0
BEN,2020,0
BMU,1960,9.9
BMU,1961,0
BMU,1962,7.4
BMU,1963,0
BMU,1964,0
BMU,1965,0
BMU,1966,7.2
BMU,1967,0
BMU,1968,0
BMU,1969,0
BMU,1970,7.6
BMU,1971,8.2
BMU,1972,7.3
