,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
10,1970-01-01,1965684.0051981562,12532303.639385067,12652499.559502253,1965684.0051981565,1965684.0051981565,10627368.398375211,10627368.398375211,10627368.398375211,10627368.398375211,10627368.398375211,10627368.398375211,0.0,0.0,0.0,12593052.403573368
11,1971-01-01,2245157.8454685644,12805805.874060145,12925801.160609685,2245157.8454685644,2245157.8454685644,10619386.466908485,10619386.466908485,10619386.466908485,10619386.466908485,10619386.466908485,10619386.466908485,0.0,0.0,0.0,12864544.312377049
12,1972-01-01,2524628.2964639515,13058594.863733346,13177999.04664727,2524628.2964639515,2524628.2964639515,10592109.690284392,10592109.690284392,10592109.690284392,10592109.690284392,10592109.690284392,10592109.690284392,0.0,0.0,0.0,13116737.986748343
13,1973-01-01,2804864.4199278182,13368219.253411675,13478644.6114217,2804864.4199278187,2804864.4199278187,10615442.8695122,10615442.8695122,10615442.8695122,10615442.8695122,10615442.8695122,10615442.8695122,0.0,0.0,0.0,13420307.289440019
14,1974-01-01,3030809.965801721,13596598.75085397,13717140.5307488,3030809.9658017214,3030809.9658017214,10627368.398375195,10627368.398375195,10627368.398375195,10627368.398375195,10627368.398375195,10627368.398375195,0.0,0.0,0.0,13658178.364176916
15,1975-01-01,3256755.5116756246,13815959.652319072,13937927.149494156,3256755.5116756246,3256755.5116756246,10619386.46690862,10619386.46690862,10619386.46690862,10619386.46690862,10619386.46690862,10619386.46690862,0.0,0.0,0.0,13876141.978584245
16,1976-01-01,3422139.9834981267,13948959.682178665,14074082.321329692,3422139.9834981267,3422139.9834981267,10592109.690284444,10592109.690284444,10592109.690284444,10592109.690284444,10592109.690284444,10592109.690284444,0.0,0.0,0.0,14014249.67378257
17,1977-01-01,3587977.563462609,14145568.728224376,14262111.091147684,3587977.563462609,3587977.563462609,10615442.869512172,10615442.869512172,10615442.869512172,10615442.869512172,10615442.869512172,10615442.869512172,0.0,0.0,0.0,14203420.432974782
18,1978-01-01,3753362.0354107055,14321132.411868336,14441874.481334789,3753362.0354107055,3753362.0354107055,10627368.39837518,10627368.39837518,10627368.39837518,10627368.39837518,10627368.39837518,10627368.39837518,0.0,0.0,0.0,14380730.433785886
19,1979-01-01,3918746.5073588016,14473571.747890735,14595721.883786196,3918746.5073588016,3918746.5073588016,10619386.46690868,10619386.46690868,10619386.46690868,10619386.46690868,10619386.46690868,10619386.46690868,0.0,0.0,0.0,14538132.974267483
