LOCATION,TIME,broad_money_growth_%
BHR,1987,9.408475208
BHR,1988,4.042331517
BHR,1989,4.449289846
BHR,1990,-11.56314434
BHR,1991,23.20851455
BHR,1992,4.860361405
BHR,1993,5.727819626
BHR,1994,5.98352313
BHR,1995,7.424578642
BHR,1996,3.101961974
BHR,1997,7.84851756
BHR,1998,16.75675676
BHR,1999,4.12409536
BHR,2000,10.22129095
BHR,2001,9.24097
BHR,2002,10.33845501
BHR,2003,6.357003109
BHR,2004,4.14724012
BHR,2005,21.99122952
BHR,2006,14.89357595
BHR,2007,39.29978443
BHR,2008,19.67982924
BHR,2009,5.809702158
BHR,2010,10.5094602
BHR,2011,3.401334604
BHR,2012,4.052808201
BHR,2013,8.20220206
BHR,2014,6.511556812
BHR,2015,2.946030444
BHR,2016,0
BHR,2017,0
BHR,2018,0
BHR,2019,0
BHR,2020,0
BGD,1960,0
BGD,1961,0
BGD,1962,0
BGD,1963,0
BGD,1964,0
BGD,1965,0
BGD,1966,0
BGD,1967,0
BGD,1968,0
BGD,1969,0
BGD,1970,0
BGD,1971,0
BGD,1972,0
BGD,1973,0
BGD,1974,0
BGD,1975,5.385278728
BGD,1976,18.95842724
BGD,1977,24.06554587
BGD,1978,26.31245096
BGD,1979,22.54833034
BGD,1980,20.99695547
BGD,1981,16.81518052
BGD,1982,12.07832593
BGD,1983,40.34156885
BGD,1984,36.29965198
BGD,1985,13.6823969
BGD,1986,16.25634428
BGD,1987,18.81049289
BGD,1988,13.65889445
BGD,1989,18.63655243
BGD,1990,10.39977291
BGD,1991,13.70804621
BGD,1992,12.03512475
BGD,1993,10.51420575
BGD,1994,19.33400298
BGD,1995,12.1487675
BGD,1996,10.73424355
BGD,1997,9.742787133
BGD,1998,11.41401589
BGD,1999,15.47134693
BGD,2000,19.34712843
BGD,2001,42.99761697
BGD,2002,14.50042664
BGD,2003,14.06829755
BGD,2004,14.12932031
BGD,2005,15.81338616
BGD,2006,20.21561985
BGD,2007,13.54834629
BGD,2008,16.40721028
BGD,2009,20.24440077
BGD,2010,21.0788579
BGD,2011,16.91536756
BGD,2012,17.01132257
BGD,2013,14.84981283
BGD,2014,15.61021591
BGD,2015,14.892336
BGD,2016,16.69775713
BGD,2017,13.73939573
BGD,2018,11.50616873
BGD,2019,11.90526568
BGD,2020,0
BRB,1960,0
BRB,1961,0
BRB,1962,0
BRB,1963,0
BRB,1964,0
BRB,1965,0
BRB,1966,0
