LOCATION,TIME,"Automated teller machines (ATMs) (per 100,000 adults)"
ABW,1961,0
ABW,1962,0
ABW,1963,0
ABW,1964,0
ABW,1965,0
ABW,1966,0
ABW,1967,0
ABW,1968,0
ABW,1969,0
ABW,1970,0
ABW,1971,0
ABW,1972,0
ABW,1973,0
ABW,1974,0
ABW,1975,0
ABW,1976,0
ABW,1977,0
ABW,1978,0
ABW,1979,0
ABW,1980,0
ABW,1981,0
ABW,1982,0
ABW,1983,0
ABW,1984,0
ABW,1985,0
ABW,1986,0
ABW,1987,0
ABW,1988,0
ABW,1989,0
ABW,1990,0
ABW,1991,0
ABW,1992,0
ABW,1993,0
ABW,1994,0
ABW,1995,0
ABW,1996,0
ABW,1997,0
ABW,1998,0
ABW,1999,0
ABW,2000,0
ABW,2001,0
ABW,2002,0
ABW,2003,0
ABW,2004,0
ABW,2005,0
ABW,2006,0
ABW,2007,0
ABW,2008,0
ABW,2009,0
ABW,2010,0
ABW,2011,110.9809483
ABW,2012,119.5807353
ABW,2013,124.1756784
ABW,2014,117.9399817
ABW,2015,119.0672671
ABW,2016,125.984252
ABW,2017,124.9696254
ABW,2018,126.4338751
ABW,2019,126.739818
ABW,2020,0
AUS,1960,0
AUS,1961,0
AUS,1962,0
AUS,1963,0
AUS,1964,0
AUS,1965,0
AUS,1966,0
AUS,1967,0
AUS,1968,0
AUS,1969,0
AUS,1970,0
AUS,1971,0
AUS,1972,0
AUS,1973,0
AUS,1974,0
AUS,1975,0
AUS,1976,0
AUS,1977,0
AUS,1978,0
AUS,1979,0
AUS,1980,0
AUS,1981,0
AUS,1982,0
AUS,1983,0
AUS,1984,0
AUS,1985,0
AUS,1986,0
AUS,1987,0
AUS,1988,0
AUS,1989,0
AUS,1990,0
AUS,1991,0
AUS,1992,0
AUS,1993,0
AUS,1994,0
AUS,1995,0
AUS,1996,0
AUS,1997,0
AUS,1998,0
AUS,1999,0
AUS,2000,0
AUS,2001,0
AUS,2002,0
AUS,2003,0
AUS,2004,139.5828713
AUS,2005,146.462976
AUS,2006,154.7306127
AUS,2007,155.2816306
AUS,2008,157.8410749
AUS,2009,154.3220523
AUS,2010,168.6904343
AUS,2011,170.510888
AUS,2012,164.6982387
AUS,2013,161.1654337
AUS,2014,165.2285315
AUS,2015,163.8955849
AUS,2016,167.6971925
AUS,2017,160.3243873
AUS,2018,146.1167481
AUS,2019,0
AUS,2020,0
AUT,1960,0
AUT,1961,0
AUT,1962,0
AUT,1963,0
AUT,1964,0
AUT,1965,0
AUT,1966,0
AUT,1967,0
AUT,1968,0
AUT,1969,0
AUT,1970,0
AUT,1971,0
AUT,1972,0
AUT,1973,0
AUT,1974,0
AUT,1975,0
AUT,1976,0
AUT,1977,0
AUT,1978,0
AUT,1979,0
AUT,1980,0
AUT,1981,0
AUT,1982,0
AUT,1983,0
AUT,1984,0
AUT,1985,0
AUT,1986,0
AUT,1987,0
AUT,1988,0
AUT,1989,0
AUT,1990,0
AUT,1991,0
AUT,1992,0
AUT,1993,0
AUT,1994,0
AUT,1995,0
AUT,1996,0
AUT,1997,0
AUT,1998,0
AUT,1999,0
AUT,2000,0
AUT,2001,0
AUT,2002,0
AUT,2003,0
AUT,2004,116.1556509
AUT,2005,106.7879717
AUT,2006,108.3361245
AUT,2007,108.6163245
AUT,2008,110.1563035
AUT,2009,112.3385741
AUT,2010,112.9183088
AUT,2011,113.8016614
AUT,2012,115.6272108
AUT,2013,117.2726026
AUT,2014,186.3671414
AUT,2015,183.2707476
AUT,2016,162.9232026
AUT,2017,165.0367745
AUT,2018,169.4052194
AUT,2019,171.9643969
AUT,2020,0
AZE,1960,0
AZE,1961,0
AZE,1962,0
AZE,1963,0
AZE,1964,0
AZE,1965,0
AZE,1966,0
AZE,1967,0
AZE,1968,0
AZE,1969,0
AZE,1970,0
AZE,1971,0
AZE,1972,0
AZE,1973,0
AZE,1974,0
AZE,1975,0
AZE,1976,0
AZE,1977,0
AZE,1978,0
AZE,1979,0
AZE,1980,0
AZE,1981,0
AZE,1982,0
AZE,1983,0
AZE,1984,0
AZE,1985,0
AZE,1986,0
AZE,1987,0
AZE,1988,0
AZE,1989,0
AZE,1990,0
AZE,1991,0
AZE,1992,0
AZE,1993,0
AZE,1994,0
AZE,1995,0
AZE,1996,0
AZE,1997,0
AZE,1998,0
AZE,1999,0
AZE,2000,0
AZE,2001,0
AZE,2002,0
AZE,2003,0
AZE,2004,0
AZE,2005,0
AZE,2006,17.06939372
AZE,2007,20.36012847
AZE,2008,22.70785557
AZE,2009,24.67139278
AZE,2010,27.07984906
AZE,2011,30.0302669
AZE,2012,31.38967363
AZE,2013,33.24171503
AZE,2014,35.40970715
AZE,2015,36.19916312
AZE,2016,32.71950266
AZE,2017,32.15923677
AZE,2018,32.84805647
AZE,2019,34.49462186
AZE,2020,0
BHS,1960,0
BHS,1961,0
BHS,1962,0
BHS,1963,0
BHS,1964,0
BHS,1965,0
BHS,1966,0
BHS,1967,0
BHS,1968,0
BHS,1969,0
BHS,1970,0
BHS,1971,0
BHS,1972,0
BHS,1973,0
BHS,1974,0
BHS,1975,0
BHS,1976,0
BHS,1977,0
BHS,1978,0
BHS,1979,0
BHS,1980,0
BHS,1981,0
BHS,1982,0
BHS,1983,0
BHS,1984,0
BHS,1985,0
BHS,1986,0
BHS,1987,0
BHS,1988,0
BHS,1989,0
BHS,1990,0
BHS,1991,0
BHS,1992,0
BHS,1993,0
BHS,1994,0
BHS,1995,0
BHS,1996,0
BHS,1997,0
BHS,1998,0
BHS,1999,0
BHS,2000,0
BHS,2001,0
BHS,2002,0
BHS,2003,0
BHS,2004,66.01872134
BHS,2005,67.65320454
BHS,2006,66.97867566
BHS,2007,69.24611873
BHS,2008,70.21823828
BHS,2009,71.54031808
BHS,2010,70.9001233
BHS,2011,82.0152314
BHS,2012,80.48155415
BHS,2013,112.8664062
BHS,2014,119.4529484
BHS,2015,121.2939427
BHS,2016,138.7771729
BHS,2017,122.9465047
BHS,2018,127.789542
BHS,2019,126.8529593
BHS,2020,0
BHR,1960,0
BHR,1961,0
BHR,1962,0
BHR,1963,0
BHR,1964,0
BHR,1965,0
BHR,1966,0
BHR,1967,0
BHR,1968,0
BHR,1969,0
BHR,1970,0
BHR,1971,0
BHR,1972,0
BHR,1973,0
BHR,1974,0
BHR,1975,0
BHR,1976,0
BHR,1977,0
BHR,1978,0
BHR,1979,0
BHR,1980,0
BHR,1981,0
BHR,1982,0
BHR,1983,0
BHR,1984,0
BHR,1985,0
BHR,1986,0
BHR,1987,0
BHR,1988,0
BHR,1989,0
BHR,1990,0
BHR,1991,0
BHR,1992,0
BHR,1993,0
BHR,1994,0
BHR,1995,0
BHR,1996,0
BHR,1997,0
BHR,1998,0
BHR,1999,0
BHR,2000,0
BHR,2001,0
BHR,2002,0
BHR,2003,0
BHR,2004,0
BHR,2005,0
BHR,2006,0
BHR,2007,0
BHR,2008,0
BHR,2009,0
BHR,2010,0
BHR,2011,0
BHR,2012,0
BHR,2013,0
BHR,2014,0
BHR,2015,0
BHR,2016,0
BHR,2017,0
BHR,2018,0
BHR,2019,0
BHR,2020,0
BGD,1960,0
BGD,1961,0
BGD,1962,0
BGD,1963,0
BGD,1964,0
BGD,1965,0
BGD,1966,0
BGD,1967,0
BGD,1968,0
BGD,1969,0
BGD,1970,0
BGD,1971,0
BGD,1972,0
BGD,1973,0
BGD,1974,0
BGD,1975,0
BGD,1976,0
BGD,1977,0
BGD,1978,0
BGD,1979,0
BGD,1980,0
BGD,1981,0
BGD,1982,0
BGD,1983,0
BGD,1984,0
BGD,1985,0
BGD,1986,0
BGD,1987,0
BGD,1988,0
BGD,1989,0
BGD,1990,0
BGD,1991,0
BGD,1992,0
BGD,1993,0
BGD,1994,0
BGD,1995,0
BGD,1996,0
BGD,1997,0
BGD,1998,0
BGD,1999,0
BGD,2000,0
BGD,2001,0
BGD,2002,0
BGD,2003,0
BGD,2004,0.128971709
BGD,2005,0.201629356
BGD,2006,0.354323402
BGD,2007,0.511812296
BGD,2008,0.843442106
BGD,2009,1.285764929
BGD,2010,2.113169334
BGD,2011,3.709007216
BGD,2012,4.039894151
BGD,2013,4.955354213
BGD,2014,5.77112321
BGD,2015,7.09363881
BGD,2016,8.028475749
BGD,2017,8.360075657
BGD,2018,8.857212249
BGD,2019,0
BGD,2020,0
BRB,1960,0
BRB,1961,0
BRB,1962,0
BRB,1963,0
BRB,1964,0
BRB,1965,0
BRB,1966,0
BRB,1967,0
BRB,1968,0
BRB,1969,0
BRB,1970,0
BRB,1971,0
BRB,1972,0
BRB,1973,0
BRB,1974,0
BRB,1975,0
BRB,1976,0
BRB,1977,0
BRB,1978,0
BRB,1979,0
BRB,1980,0
BRB,1981,0
BRB,1982,0
BRB,1983,0
BRB,1984,0
BRB,1985,0
BRB,1986,0
BRB,1987,0
BRB,1988,0
BRB,1989,0
BRB,1990,0
BRB,1991,0
BRB,1992,0
BRB,1993,0
BRB,1994,0
BRB,1995,0
BRB,1996,0
BRB,1997,0
BRB,1998,0
BRB,1999,0
BRB,2000,0
BRB,2001,0
BRB,2002,0
BRB,2003,0
BRB,2004,0
BRB,2005,0
BRB,2006,30.32991707
BRB,2007,31.92503462
BRB,2008,36.62594636
BRB,2009,36.85138237
BRB,2010,36.65592015
BRB,2011,32.47023927
BRB,2012,36.20564808
BRB,2013,36.87091709
BRB,2014,42.70278431
BRB,2015,36.45565277
BRB,2016,23.455158
BRB,2017,26.30004963
BRB,2018,26.16817696
BRB,2019,28.98112447
BRB,2020,0
BLR,1960,0
BLR,1961,0
BLR,1962,0
BLR,1963,0
BLR,1964,0
BLR,1965,0
BLR,1966,0
BLR,1967,0
BLR,1968,0
BLR,1969,0
BLR,1970,0
BLR,1971,0
BLR,1972,0
BLR,1973,0
BLR,1974,0
BLR,1975,0
BLR,1976,0
BLR,1977,0
BLR,1978,0
BLR,1979,0
BLR,1980,0
BLR,1981,0
BLR,1982,0
BLR,1983,0
BLR,1984,0
BLR,1985,0
BLR,1986,0
BLR,1987,0
BLR,1988,0
BLR,1989,0
BLR,1990,0
BLR,1991,0
BLR,1992,0
BLR,1993,0
BLR,1994,0
BLR,1995,0
BLR,1996,0
BLR,1997,0
BLR,1998,0
BLR,1999,0
BLR,2000,0
BLR,2001,0
BLR,2002,0
BLR,2003,0
BLR,2004,10.85792147
BLR,2005,15.39870509
BLR,2006,18.95249021
BLR,2007,25.67432665
BLR,2008,30.24750029
BLR,2009,33.37211715
BLR,2010,37.92299836
BLR,2011,41.22605313
BLR,2012,46.17403056
BLR,2013,51.17698298
BLR,2014,54.76931221
BLR,2015,55.54809573
BLR,2016,55.29196135
BLR,2017,55.66717501
BLR,2018,53.89384625
BLR,2019,54.67241623
BLR,2020,0
BEL,1960,0
BEL,1961,0
BEL,1962,0
BEL,1963,0
BEL,1964,0
BEL,1965,0
BEL,1966,0
BEL,1967,0
BEL,1968,0
BEL,1969,0
BEL,1970,0
BEL,1971,0
BEL,1972,0
BEL,1973,0
BEL,1974,0
BEL,1975,0
BEL,1976,0
